x,y,z
-0.1081696,0.9760437,-0.1491547
-0.112854,0.9804535,-0.1450806
-0.1065674,0.9813843,-0.1416168
-0.1160736,0.9790802,-0.1513214
-0.1125946,0.9784851,-0.1426849
-0.1090546,0.9769135,-0.143631
-0.1035461,0.9796906,-0.1470337
-0.108139,0.9816437,-0.1470947
-0.1043396,0.9803162,-0.1468201
-0.1022491,0.9818573,-0.1419678
-0.1086731,0.9792938,-0.1449738
-0.09870911,0.9787598,-0.1460266
-0.106842,0.9759064,-0.1395874
-0.09747314,0.9780273,-0.1355133
-0.105835,0.9784851,-0.1381836
-0.1008759,0.9794769,-0.1325836
-0.09173584,0.9781036,-0.136795
-0.1030731,0.9842072,-0.1313019
-0.09068298,0.985733,-0.133316
-0.09733582,0.9825897,-0.1309662
-0.09994507,0.9828796,-0.1218567
-0.09432983,0.9795532,-0.1341858
-0.1099396,0.9812469,-0.1353607
-0.1091461,0.9793091,-0.1245422
-0.09692383,0.9821625,-0.1225433
-0.1014099,0.9824982,-0.1343842
-0.1142578,0.983551,-0.1274414
-0.1021729,0.97789,-0.1341705
-0.1051178,0.9807587,-0.1360474
-0.1188049,0.9756317,-0.1429901
-0.1133118,0.9819336,-0.1424408
-0.1317596,0.9737244,-0.131424
-0.1235199,0.9780884,-0.1333923
-0.1184998,0.9779968,-0.1372223
-0.1136475,0.9758453,-0.1394348
-0.1068878,0.9776306,-0.1412354
-0.1086731,0.9837341,-0.131073
-0.09889221,0.9887543,-0.1216431
-0.1204987,0.9917908,-0.1207275
-0.1297455,0.973938,-0.1264038
-0.1152802,0.9692993,-0.1400604
-0.1116943,0.9698181,-0.158783
-0.1147308,0.9810028,-0.1503754
-0.1052399,0.9825439,-0.1291046
-0.1148376,0.9784698,-0.1320496
-0.1172791,0.9893341,-0.133606
-0.1103363,0.9908142,-0.1445618
-0.1015778,0.980072,-0.1362762
-0.0977478,0.973938,-0.1312408
-0.09286499,0.9750366,-0.1229095
-0.09513855,0.9806366,-0.1174316
-0.09559631,0.9829559,-0.1259766
-0.09498596,0.9821167,-0.1256104
-0.08326721,0.9951477,-0.1206055
-0.08378601,0.9982452,-0.1109314
-0.07699585,1.018661,-0.06100464
-0.1026459,1.031815,-0.03796387
-0.07437134,1.098328,0.4211426
-0.1193237,1.073517,0.3097687
0.01823425,1.090302,-0.06176758
-0.2989807,1.250076,-0.09791565
0.05891418,0.9182281,0.2194366
0.04916382,0.9034576,0.1641846
-0.1845093,0.9243469,0.2555084
-0.3940887,0.8483582,0.3731232
-0.2975006,0.8140411,0.3891907
-0.1380615,0.6847382,0.2707977
-0.1372528,0.6781158,0.3353424
-0.2824249,0.6750183,0.5124969
-0.4170532,0.7813873,0.5293274
-0.5187531,0.8591919,0.6536713
-1.058594,1.380356,-0.02337646
-0.7125854,1.151337,0.3638306
0.1070557,0.7348938,-0.6684113
0.1011963,0.9697723,-0.3030243
0.6005096,1.4953,-0.03363037
0.2901611,0.945755,-0.2223816
-0.3842163,0.9368896,-0.1243896
-0.01187134,0.9102783,0.1330414
0.03234863,0.9712219,-0.03936768
-0.1256104,0.8375244,-0.1999512
-0.09220886,1.196304,0.05574036
0.1594391,1.399872,0.1415405
0.1584778,1.178146,0.04632568
0.06091309,1.344116,0.6707153
0.2226868,1.459106,-0.1015778
-0.1636505,1.549408,-0.5783844
-0.741684,1.298828,0.02775574
0.3811951,0.9024353,-0.09411621
0.3668823,0.8029175,-0.2982025
-0.1336975,0.4125519,-0.4081879
-0.05574036,0.3946838,-0.3130035
-0.3080902,0.4303894,0.08288574
-0.9347382,1.863144,1.389496
-0.3164062,0.846344,0.5458832
-0.6561279,0.7064667,0.1624756
-0.6456909,1.598709,-0.21492
0.2040863,0.6631012,-0.8419189
0.1394043,1.206955,-0.3464966
0.7906036,1.008789,-0.4021912
0.04693604,0.7478638,-0.160965
-0.169342,0.9414673,-0.01280212
-0.5139771,0.844696,0.3673706
0.001861572,1.036774,-0.2017822
0.2402039,1.387619,-0.06399536
0.3000031,1.304123,0.2143707
